,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
0,0,0,0,0,0.0,0,0.0,0,0.0,,0,0,0
1,4FGL J0001.2-0747,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333,-3333
2,4FGL J0001.5+2113,FSRQ,6.5939034506037195e-06,17.945967631163082,65.4076516976857,6804000.0,2721600.0,56765.50001157408,0.005136986301369863,57028.47001016212,0.0,5.303845714759447e-06,7.626217102361642e-06
3,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,27.477187014552896,3024000.0,1209600.0,56814.50001157408,0.00228310502283105,90501.67857194481,0.0,5.303845714759447e-06,6.2325936724884485e-06
4,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,279.89184288115996,24192000.0,9676800.0,56870.50001157408,0.0182648401826484,25129.520105615542,0.0,5.303845714759447e-06,1.2697457916622429e-05
5,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,93.16217056875193,8316000.0,3326400.0,57280.00001157408,0.006278538812785388,44264.55595477335,0.0,5.303845714759447e-06,8.94241700835299e-06
6,4FGL J0001.5+2113,FSRQ,1.5407281252486975e-05,55.909942209024734,203.77491487811278,9072000.0,3628800.0,57416.50001157408,0.00684931506849315,21136.9205682126,-0.8333333333333334,5.303845714759447e-06,2.6091727548181455e-05
7,4FGL J0001.5+2113,FSRQ,1.3945167782256765e-05,109.64248717121559,399.61387201599763,19656000.0,7862400.0,57465.50001157408,0.014840182648401826,15865.270024381087,0.8461538461538461,5.303845714759447e-06,3.46083151751843e-05
8,4FGL J0001.5+2113,FSRQ,9.852143413964659e-06,14.896440841914563,54.293044217420125,3780000.0,1512000.0,57570.50001157408,0.0028538812785388126,51208.35949116338,0.0,5.303845714759447e-06,1.234905205915413e-05
9,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,198.99627365819052,18900000.0,7560000.0,57644.00001157408,0.014269406392694063,31240.953600739736,0.0,5.303845714759447e-06,1.2426475583035973e-05
10,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,122.7940127762162,10584000.0,4233600.0,57801.50001157408,0.007990867579908675,37886.6565025037,0.0,5.303845714759447e-06,1.3781387250968247e-05
11,4FGL J0001.5+2113,FSRQ,1.032887159342231e-05,168.66634157194895,614.7380597914256,40824000.0,16329600.0,57990.50001157408,0.030821917808219176,14863.017285652168,0.48148148148148145,5.303845714759447e-06,1.9975269161515773e-05
12,4FGL J0001.5+2113,FSRQ,1.2532932928373508e-05,30.319671340321193,110.50607821070184,6048000.0,2419200.0,58312.50001157408,0.0045662100456621,31824.363762320605,0.75,5.303845714759447e-06,1.652992234877371e-05
13,4FGL J0001.5+2113,FSRQ,1.2561966749829203e-05,26.591171216038457,96.916817241548,5292000.0,2116800.0,58473.50001157408,0.003995433789954338,33943.04411415332,0.0,5.303845714759447e-06,1.3742675489027323e-05
14,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,61.61033858542607,6048000.0,2419200.0,60706.50001157408,0.0045662100456621,57080.864932338736,0.0,5.303845714759447e-06,1.0607022771812637e-05
15,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333,-3333
16,4FGL J0004.3+4614,FSRQ,7.519352279418712e-06,661.6909696251996,2619.1150424592147,219996000.0,87998400.0,59376.50001157408,0.17787286063569682,8098.254854477004,0.0,6.954892419348258e-06,9.839683508990997e-06
17,4FGL J0004.4-4737,FSRQ,3.993017834198519e-06,79.69424714206772,315.9799038634559,49896000.0,19958400.0,59537.50001157408,0.0375,31967.657643062194,0.6666666666666666,3.096546530376466e-06,9.457317616047327e-06
