,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV)
0,0,0,0,0,0.0,0,0.0,0,0.0,,0,0
1,4FGL J0001.5+2113,FSRQ,6.5939034506037195e-06,17.945967631163082,209.30448543259422,6804000.0,2721600.0,56765.50001157408,0.005136986301369863,17821.58532646881,0.0,4.178316427339017e-06
2,4FGL J0001.5+2113,FSRQ,6.2325936724884485e-06,7.538945306242027,87.92699844656927,3024000.0,1209600.0,56814.50001157408,0.00228310502283105,28282.057226328805,0.0,4.178316427339017e-06
3,4FGL J0001.5+2113,FSRQ,7.935911197889019e-06,76.79422547973246,895.6538972197119,24192000.0,9676800.0,56870.50001157408,0.0182648401826484,7853.074972599044,0.0,4.178316427339017e-06
4,4FGL J0001.5+2113,FSRQ,7.684284745273024e-06,25.56100477667619,298.1189458200062,8316000.0,3326400.0,57280.00001157408,0.006278538812785388,13832.84419347691,0.0,4.178316427339017e-06
5,4FGL J0001.5+2113,FSRQ,8.51658762700285e-06,30.90499318086794,360.4460805884206,9072000.0,3628800.0,57416.50001157408,0.00684931506849315,11949.669069656164,-0.8333333333333334,4.178316427339017e-06
6,4FGL J0001.5+2113,FSRQ,7.089782686894579e-06,55.742707397439936,650.129261805911,19656000.0,7862400.0,57465.50001157408,0.014840182648401826,9751.94128002021,0.8461538461538461,4.178316427339017e-06
7,4FGL J0001.5+2113,FSRQ,9.852143413964659e-06,14.896440841914563,173.73774149574442,3780000.0,1512000.0,57570.50001157408,0.0028538812785388126,16002.865169643797,0.0,4.178316427339017e-06
8,4FGL J0001.5+2113,FSRQ,7.222066307698416e-06,54.59882128620002,636.7880757062097,18900000.0,7560000.0,57644.00001157408,0.014269406392694063,9762.911069098333,0.0,4.178316427339017e-06
9,4FGL J0001.5+2113,FSRQ,7.958032204712402e-06,33.69112514187042,392.9408408838919,10584000.0,4233600.0,57801.50001157408,0.007990867579908675,11839.731251491487,0.0,4.178316427339017e-06
10,4FGL J0001.5+2113,FSRQ,6.2918226682580606e-06,190.26471748812375,2219.064449925607,75600000.0,30240000.0,57990.50001157408,0.05707762557077625,5603.164760365178,0.98,4.178316427339017e-06
11,4FGL J0001.5+2113,FSRQ,4.541373572694417e-06,41.19934105148375,480.509441238967,22680000.0,9072000.0,58393.00001157408,0.017123287671232876,14172.949439765296,0.7666666666666667,4.178316427339017e-06
12,4FGL J0001.5+2113,FSRQ,6.987473030336428e-06,16.904094754989888,197.15308347336344,6048000.0,2419200.0,60706.50001157408,0.0045662100456621,17837.97017083442,0.0,4.178316427339017e-06
13,4FGL J0003.3-1928,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
14,4FGL J0004.3+4614,FSRQ,nan,nan,,219996000.0,87998400.0,59376.50001157408,0.17787286063569682,,0.0,7.210187682267299e-06
15,4FGL J0004.4-4737,FSRQ,nan,nan,,49896000.0,19958400.0,59537.50001157408,0.0375,,0.6666666666666666,3.001727450164518e-06
16,4FGL J0004.4-4001,-3333,-3333,-3333,-3333.0,-3333,-3333.0,-3333,-3333.0,,-3333,-3333
17,4FGL J0005.9+3824,FSRQ,nan,nan,,93744000.0,37497600.0,54910.50001157408,0.07276995305164319,,0.0,7.609282714233596e-07
